ts_id,ds,y,water_prod,tubing_pressure,casing_pressure
WL01,2023-05-17 00:00:00,213.21,5.35,110.0,127.0
WL01,2023-05-16 00:00:00,220.36,5.99,109.38,126.69
WL01,2023-05-15 00:00:00,230.77,5.92,102.98,125.58
WL01,2023-05-14 00:00:00,230.27,5.78,105.32,127.92
WL01,2023-05-13 00:00:00,229.81,6.01,101.87,123.97
WL01,2023-05-12 00:00:00,230.96,6.08,102.98,128.29
WL01,2023-05-11 00:00:00,232.76,6.4,107.53,124.59
WL01,2023-05-10 00:00:00,234.44,6.66,102.98,125.33
WL01,2023-05-09 00:00:00,238.08,6.8,101.62,126.07
WL01,2023-05-08 00:00:00,239.83,7.12,103.96,124.71
WL01,2023-05-07 00:00:00,239.48,7.73,109.38,125.58
WL01,2023-05-06 00:00:00,240.87,6.74,109.87,126.93
WL01,2023-05-05 00:00:00,250.65,6.81,97.81,136.55
WL01,2023-05-04 00:00:00,253.77,7.28,102.36,129.77
WL01,2023-05-03 00:00:00,260.46,7.03,120.2,131.25
WL01,2023-05-02 00:00:00,285.86,4.63,103.47,131.87
WL01,2023-05-01 00:00:00,305.97,4.23,132.63,134.95
WL01,2023-04-30 00:00:00,305.71,2.32,110.85,134.21
WL01,2023-04-29 00:00:00,211.51,7.46,116.51,155.3
WL01,2023-04-28 00:00:00,221.52,7.04,103.84,126.81
WL01,2023-04-27 00:00:00,245.79,6.77,103.72,128.29
WL01,2023-04-26 00:00:00,272.01,6.53,103.96,129.03
WL01,2023-04-25 00:00:00,288.53,5.73,105.81,132.98
WL01,2023-04-24 00:00:00,292.38,5.57,106.55,134.58
WL01,2023-04-23 00:00:00,292.2,5.65,104.95,136.43
WL01,2023-04-22 00:00:00,297.65,4.69,105.68,136.31
WL01,2023-04-21 00:00:00,292.54,4.59,103.22,138.77
WL01,2023-04-20 00:00:00,295.19,4.89,105.44,136.43
WL01,2023-04-19 00:00:00,294.1,4.83,132.01,138.53
WL01,2023-04-18 00:00:00,293.55,4.72,106.91,139.27
WL01,2023-04-17 00:00:00,305.58,2.77,106.79,139.64
WL01,2023-04-16 00:00:00,285.96,1.99,120.69,139.02
WL01,2023-04-15 00:00:00,247.56,1.92,102.61,188.86
WL01,2023-04-14 00:00:00,286.74,4.29,105.32,156.91
WL01,2023-04-13 00:00:00,288.61,3.93,104.95,135.32
WL01,2023-04-12 00:00:00,291.8,3.42,108.88,135.44
WL01,2023-04-11 00:00:00,279.16,2.42,104.95,134.46
WL01,2023-04-10 00:00:00,225.0,2.7,104.7,184.66
WL01,2023-04-09 00:00:00,247.61,4.71,105.32,126.56
WL01,2023-04-08 00:00:00,248.32,4.72,101.62,125.7
WL01,2023-04-07 00:00:00,249.13,4.48,102.12,125.82
WL01,2023-04-06 00:00:00,250.64,4.62,109.74,127.06
WL01,2023-04-05 00:00:00,246.18,4.66,101.25,125.21
WL01,2023-04-04 00:00:00,250.67,4.22,100.39,125.58
WL01,2023-04-03 00:00:00,249.68,3.21,101.87,123.36
WL01,2023-04-02 00:00:00,249.05,3.42,103.96,125.95
WL01,2023-04-01 00:00:00,248.63,3.85,107.16,124.1
WL01,2023-03-31 00:00:00,247.87,4.49,103.22,125.33
WL01,2023-03-30 00:00:00,249.44,4.54,102.12,122.74
WL01,2023-03-29 00:00:00,251.15,4.09,104.7,125.58
WL01,2023-03-28 00:00:00,249.08,4.2,104.45,123.85
WL01,2023-03-27 00:00:00,249.39,3.93,102.61,124.22
WL01,2023-03-26 00:00:00,248.69,4.1,109.01,124.71
WL01,2023-03-25 00:00:00,247.28,4.4,99.53,122.86
WL01,2023-03-24 00:00:00,245.68,4.14,102.49,123.36
WL01,2023-03-23 00:00:00,230.11,4.3,104.45,123.11
WL01,2023-03-22 00:00:00,234.92,4.46,108.64,138.65
WL01,2023-03-21 00:00:00,235.19,4.8,103.59,123.36
WL01,2023-03-20 00:00:00,234.2,4.52,105.44,124.1
WL01,2023-03-19 00:00:00,236.56,4.27,101.25,123.97
WL01,2023-03-18 00:00:00,234.84,4.65,106.18,124.34
WL01,2023-03-17 00:00:00,234.44,5.16,104.95,124.71
WL01,2023-03-16 00:00:00,234.33,4.79,105.32,122.99
WL01,2023-03-15 00:00:00,236.9,4.52,100.52,123.97
WL01,2023-03-14 00:00:00,238.26,4.82,104.7,125.45
WL01,2023-03-13 00:00:00,236.42,4.67,127.34,124.71
WL01,2023-03-12 00:00:00,236.21,4.79,103.59,123.97
WL01,2023-03-11 00:00:00,236.68,4.96,103.84,122.86
WL01,2023-03-10 00:00:00,238.67,4.66,106.18,123.97
WL01,2023-03-09 00:00:00,238.4,5.04,102.73,125.33
WL01,2023-03-08 00:00:00,238.37,4.9,103.47,123.85
WL01,2023-03-07 00:00:00,238.34,4.77,101.38,122.62
WL01,2023-03-06 00:00:00,238.28,4.8,101.5,124.59
WL01,2023-03-05 00:00:00,239.73,4.52,102.61,124.59
WL01,2023-03-04 00:00:00,239.83,4.75,117.74,125.45
WL01,2023-03-03 00:00:00,240.37,4.99,102.36,126.07
WL01,2023-03-02 00:00:00,238.43,4.85,101.5,123.6
WL01,2023-03-01 00:00:00,238.98,5.06,105.32,124.96
WL01,2023-02-28 00:00:00,238.84,4.99,105.93,123.6
WL01,2023-02-27 00:00:00,238.43,4.98,100.39,123.97
WL01,2023-02-26 00:00:00,239.69,4.35,103.22,125.45
WL01,2023-02-25 00:00:00,238.59,3.52,104.08,125.58
WL01,2023-02-24 00:00:00,237.52,3.53,103.59,124.22
WL01,2023-02-23 00:00:00,238.64,3.53,111.84,126.69
WL01,2023-02-22 00:00:00,224.11,2.76,108.39,123.97
WL01,2023-02-21 00:00:00,220.78,5.21,117.62,145.44
WL01,2023-02-20 00:00:00,229.71,5.52,104.33,124.71
WL01,2023-02-19 00:00:00,235.52,5.09,111.34,124.47
WL01,2023-02-18 00:00:00,230.58,5.67,109.74,124.22
WL01,2023-02-17 00:00:00,236.22,5.78,105.93,124.59
WL01,2023-02-16 00:00:00,234.99,5.69,104.7,123.23
WL01,2023-02-15 00:00:00,236.19,5.67,100.64,124.1
WL01,2023-02-14 00:00:00,237.67,4.51,105.44,125.45
WL01,2023-02-13 00:00:00,237.67,4.51,129.06,129.03
WL01,2023-02-12 00:00:00,236.71,5.42,123.65,126.69
WL01,2023-02-11 00:00:00,237.54,5.61,103.96,124.71
WL01,2023-02-10 00:00:00,234.46,5.29,117.99,124.47
WL01,2023-02-09 00:00:00,234.46,5.29,101.75,123.97
WL01,2023-02-08 00:00:00,234.46,6.38072,104.45,125.08
WL01,2023-02-07 00:00:00,234.811,6.64487,102.24,124.1
WL01,2023-02-06 00:00:00,234.569,6.45751,102.85,126.07
WL01,2023-02-05 00:00:00,237.416,6.48894,105.32,125.45
WL01,2023-02-04 00:00:00,252.111,6.4111,106.42,126.44
WL01,2023-02-03 00:00:00,246.807,6.59154,105.44,125.7
WL01,2023-02-02 00:00:00,248.54,7.06201,104.7,127.06
WL01,2023-02-01 00:00:00,243.937,6.49001,105.19,126.81
WL01,2023-01-31 00:00:00,248.54,6.94121,105.44,127.18
WL01,2023-01-30 00:00:00,243.937,7.30139,126.72,127.43
WL01,2023-01-29 00:00:00,246.946,6.87515,103.35,128.54
WL01,2023-01-28 00:00:00,241.46,6.79203,106.91,126.93
WL01,2023-01-27 00:00:00,248.296,7.26536,107.78,129.89
WL01,2023-01-26 00:00:00,239.533,6.94171,105.68,128.78
WL01,2023-01-25 00:00:00,248.296,5.92106,113.93,131.37
WL01,2023-01-24 00:00:00,239.533,5.36706,107.9,133.35
WL01,2023-01-23 00:00:00,243.556,6.31852,113.56,134.95
WL01,2023-01-22 00:00:00,257.936,6.60961,137.43,134.46
WL01,2023-01-21 00:00:00,290.53,5.2722,111.71,133.22
WL01,2023-01-20 00:00:00,257.936,5.46154,130.41,134.09
WL01,2023-01-19 00:00:00,290.53,5.66354,109.62,135.32
WL01,2023-01-18 00:00:00,287.408,5.81826,113.68,136.06
WL01,2023-01-17 00:00:00,291.347,5.83867,113.68,135.81
WL01,2023-01-16 00:00:00,292.268,6.00269,108.02,136.8
WL01,2023-01-15 00:00:00,289.816,5.9264,113.07,135.69
WL01,2023-01-14 00:00:00,292.942,6.25062,110.48,139.27
WL01,2023-01-13 00:00:00,288.077,6.0167,109.01,138.4
WL01,2023-01-12 00:00:00,292.942,5.87598,109.87,140.63
WL01,2023-01-11 00:00:00,288.598,5.87598,104.7,141.86
WL01,2023-01-10 00:00:00,289.686,5.88111,109.87,139.27
WL01,2023-01-09 00:00:00,292.403,5.88111,111.1,138.77
WL01,2023-01-08 00:00:00,293.46,6.03241,110.24,137.79
WL01,2023-01-07 00:00:00,286.909,6.06063,107.9,139.14
WL01,2023-01-06 00:00:00,287.743,6.06063,105.68,137.79
WL01,2023-01-05 00:00:00,287.743,6.40796,107.41,140.25
WL01,2023-01-04 00:00:00,286.795,6.07706,107.16,140.25
WL01,2023-01-03 00:00:00,287.84,6.07706,102.61,138.03
WL01,2023-01-02 00:00:00,288.604,5.98762,112.57,139.76
WL01,2023-01-01 00:00:00,288.604,5.78434,122.42,137.91
WL01,2022-12-31 00:00:00,287.849,5.25785,107.41,137.91
WL01,2022-12-30 00:00:00,293.793,5.25785,105.44,137.42
WL01,2022-12-29 00:00:00,287.849,4.95517,104.7,138.53
WL01,2022-12-28 00:00:00,300.16,4.95517,100.76,139.27
WL01,2022-12-27 00:00:00,299.685,3.0349,108.76,139.02
WL01,2022-12-26 00:00:00,299.685,1.1959,107.9,139.27
WL01,2022-12-25 00:00:00,302.593,1.02334,105.19,138.65
WL01,2022-12-24 00:00:00,303.157,1.02334,107.78,137.29
WL01,2022-12-23 00:00:00,289.677,4.82158,105.68,137.29
WL01,2022-12-22 00:00:00,303.157,4.82158,113.07,134.58
WL01,2022-12-21 00:00:00,291.283,3.71405,105.56,135.94
WL01,2022-12-20 00:00:00,291.283,2.33755,106.55,133.22
WL01,2022-12-19 00:00:00,302.899,2.33755,106.91,132.85
WL01,2022-12-18 00:00:00,250.603,3.89215,108.51,147.16
WL01,2022-12-17 00:00:00,210.947,6.80057,106.67,123.23
WL01,2022-12-16 00:00:00,210.947,6.62951,103.1,123.23
WL01,2022-12-15 00:00:00,207.323,6.62951,105.19,123.6
WL01,2022-12-14 00:00:00,207.323,7.3263,114.42,122.74
WL01,2022-12-13 00:00:00,207.107,7.28974,104.95,123.11
WL01,2022-12-12 00:00:00,207.107,7.28974,103.47,123.97
WL01,2022-12-11 00:00:00,210.48,7.41943,102.49,124.59
WL01,2022-12-10 00:00:00,204.829,7.41943,125.86,122.49
WL01,2022-12-09 00:00:00,204.829,7.23905,106.42,125.7
WL01,2022-12-08 00:00:00,204.829,7.23905,101.01,124.1
WL01,2022-12-07 00:00:00,206.191,7.69096,101.5,125.21
WL01,2022-12-06 00:00:00,211.367,7.78161,101.13,124.1
WL01,2022-12-05 00:00:00,211.74,7.78161,99.9,123.85
WL01,2022-12-04 00:00:00,211.74,8.29731,103.59,125.7
WL01,2022-12-03 00:00:00,213.393,8.02627,120.94,125.58
WL01,2022-12-02 00:00:00,213.393,7.77081,102.61,126.81
WL01,2022-12-01 00:00:00,213.393,7.77081,104.95,126.19
WL01,2022-11-30 00:00:00,219.919,7.96832,101.99,127.18
WL01,2022-11-29 00:00:00,230.215,2.89761,98.3,127.18
WL01,2022-11-28 00:00:00,233.815,0.850569,108.39,128.04
WL01,2022-11-27 00:00:00,251.124,0.764894,106.91,157.4
WL01,2022-11-26 00:00:00,359.681,0.764894,108.76,176.77
WL01,2022-11-25 00:00:00,250.563,1.53917,108.27,167.02
WL01,2022-11-24 00:00:00,250.563,6.59346,112.45,138.53
WL01,2022-11-23 00:00:00,250.563,8.2262,126.35,126.44
WL01,2022-11-22 00:00:00,263.02,5.86568,104.45,127.3
WL01,2022-11-21 00:00:00,302.341,3.30117,105.32,128.54
WL01,2022-11-20 00:00:00,313.595,3.30117,103.72,138.77
WL01,2022-11-19 00:00:00,313.595,3.79603,107.16,156.29
WL01,2022-11-18 00:00:00,292.508,2.2181,106.79,135.69
WL01,2022-11-17 00:00:00,325.513,2.2181,112.82,133.72
WL01,2022-11-16 00:00:00,292.508,6.24137,107.04,151.85
WL01,2022-11-15 00:00:00,200.586,7.36739,118.97,122.12
WL01,2022-11-14 00:00:00,213.627,7.66344,123.52,121.5
WL01,2022-11-13 00:00:00,210.634,7.92694,103.84,123.48
WL01,2022-11-12 00:00:00,213.627,7.88222,103.22,122.12
WL01,2022-11-11 00:00:00,210.634,8.43785,117.86,124.71
WL01,2022-11-10 00:00:00,210.05,8.57054,102.36,125.95
WL01,2022-11-09 00:00:00,211.477,8.54423,103.1,124.47
WL01,2022-11-08 00:00:00,218.63,8.32397,124.26,126.19
WL01,2022-11-07 00:00:00,213.85,8.19889,103.96,127.18
WL01,2022-11-06 00:00:00,210.727,8.79506,119.59,125.33
WL01,2022-11-05 00:00:00,198.238,7.80159,107.41,126.07
WL01,2022-11-04 00:00:00,219.329,9.57442,104.33,152.1
WL01,2022-11-03 00:00:00,220.19,9.71477,101.75,125.82
WL01,2022-11-02 00:00:00,219.329,5.76294,103.22,126.32
WL01,2022-11-01 00:00:00,220.19,1.09117,104.33,125.82
WL01,2022-10-31 00:00:00,325.25,0.861519,116.88,158.76
WL01,2022-10-30 00:00:00,454.801,2.53855,104.08,157.89
WL01,2022-10-29 00:00:00,369.326,1.98973,176.3,169.98
WL01,2022-10-28 00:00:00,341.975,6.6423,121.56,143.59
WL01,2022-10-27 00:00:00,272.391,7.09329,105.81,150.37
WL01,2022-10-26 00:00:00,215.475,7.09728,114.67,124.71
WL01,2022-10-25 00:00:00,211.314,7.17534,105.93,126.69
WL01,2022-10-24 00:00:00,215.475,6.06155,109.62,124.47
WL01,2022-10-23 00:00:00,235.352,2.627,108.64,127.18
WL01,2022-10-22 00:00:00,174.722,2.78804,102.73,131.0
WL01,2022-10-21 00:00:00,,,,
WL01,2022-10-20 00:00:00,209.435,6.85205,101.99,122.49
WL01,2022-10-19 00:00:00,209.435,6.86798,104.21,123.48
WL01,2022-10-18 00:00:00,209.435,6.93075,102.73,124.1
WL01,2022-10-17 00:00:00,210.441,7.09244,105.56,123.6
WL01,2022-10-16 00:00:00,210.215,7.19325,110.24,122.49
WL01,2022-10-15 00:00:00,210.506,7.05376,101.25,123.6
WL01,2022-10-14 00:00:00,210.215,7.13695,105.68,122.86
WL01,2022-10-13 00:00:00,211.098,7.30901,118.85,123.23
WL01,2022-10-12 00:00:00,211.802,7.16802,101.5,123.36
WL01,2022-10-11 00:00:00,216.809,7.19674,120.69,122.86
WL01,2022-10-10 00:00:00,223.818,6.10976,100.15,123.6
WL01,2022-10-09 00:00:00,217.818,2.19692,106.05,121.26
WL01,2022-10-08 00:00:00,223.818,1.91735,105.19,163.82
WL01,2022-10-07 00:00:00,209.626,6.99375,124.51,165.67
WL01,2022-10-06 00:00:00,187.629,6.94548,123.4,122.62
WL01,2022-10-05 00:00:00,209.626,7.11755,104.58,122.49
WL01,2022-10-04 00:00:00,209.257,6.79083,99.53,122.12
WL01,2022-10-03 00:00:00,208.764,6.92635,114.67,122.49
WL01,2022-10-02 00:00:00,210.443,7.10204,103.22,123.73
WL01,2022-10-01 00:00:00,210.074,6.63768,104.45,122.12
WL01,2022-09-30 00:00:00,210.443,7.05091,102.49,124.71
WL01,2022-09-29 00:00:00,210.191,7.10602,106.3,121.5
WL01,2022-09-28 00:00:00,210.607,7.47722,100.15,121.75
WL01,2022-09-27 00:00:00,211.08,7.34519,99.66,121.38
WL01,2022-09-26 00:00:00,212.379,7.96057,102.85,124.71
WL01,2022-09-25 00:00:00,211.258,7.5708,101.75,122.12
WL01,2022-09-24 00:00:00,210.874,7.32486,101.99,121.63
WL01,2022-09-23 00:00:00,211.258,7.8003,101.87,129.52
WL01,2022-09-22 00:00:00,210.606,7.05056,97.07,126.19
WL01,2022-09-21 00:00:00,210.153,6.86947,108.14,125.58
WL01,2022-09-20 00:00:00,210.942,7.0775,104.08,126.19
WL01,2022-09-19 00:00:00,209.648,7.03043,105.19,124.59
WL01,2022-09-18 00:00:00,210.318,7.06015,106.67,124.22
WL01,2022-09-17 00:00:00,209.648,6.86434,103.22,124.71
WL01,2022-09-16 00:00:00,211.464,6.8839,105.68,124.1
WL01,2022-09-15 00:00:00,209.422,6.91348,103.96,126.81
WL01,2022-09-14 00:00:00,208.501,6.58877,106.42,124.1
WL01,2022-09-13 00:00:00,209.422,6.61031,105.68,124.71
WL01,2022-09-12 00:00:00,210.594,6.88312,114.17,122.0
WL01,2022-09-11 00:00:00,209.542,7.02105,112.08,122.62
WL01,2022-09-10 00:00:00,211.343,7.13112,100.76,124.59
WL01,2022-09-09 00:00:00,211.159,7.19076,102.61,122.37
WL01,2022-09-08 00:00:00,211.343,7.19809,100.15,121.75
WL01,2022-09-07 00:00:00,212.195,7.1282,104.08,121.5
WL01,2022-09-06 00:00:00,212.608,7.24011,107.9,121.75
WL01,2022-09-05 00:00:00,213.407,7.47609,102.24,123.11
WL01,2022-09-04 00:00:00,213.478,7.39675,99.29,121.26
WL01,2022-09-03 00:00:00,213.281,7.30211,101.87,121.26
WL01,2022-09-02 00:00:00,213.842,7.33361,101.87,120.52
WL01,2022-09-01 00:00:00,213.281,7.43457,99.41,120.39
WL01,2022-08-31 00:00:00,213.842,7.65926,100.27,121.75
WL01,2022-08-30 00:00:00,213.879,7.91976,101.75,122.25
WL01,2022-08-29 00:00:00,215.44,8.13227,116.14,121.38
WL01,2022-08-28 00:00:00,214.476,7.83258,97.44,121.88
WL01,2022-08-27 00:00:00,215.44,8.02925,102.24,121.13
WL01,2022-08-26 00:00:00,214.549,8.07085,99.53,119.65
WL01,2022-08-25 00:00:00,214.661,8.10142,97.56,121.01
WL01,2022-08-24 00:00:00,214.549,6.76679,98.67,122.12
WL01,2022-08-23 00:00:00,213.77,7.09685,125.62,124.1
WL01,2022-08-22 00:00:00,215.359,8.20025,117.74,121.5
WL01,2022-08-21 00:00:00,211.187,8.20117,102.84,121.75
WL01,2022-08-20 00:00:00,217.154,8.74417,101.86,122.24
WL01,2022-08-19 00:00:00,213.597,7.97492,101.82,122.37
WL01,2022-08-18 00:00:00,213.064,7.29657,107.69,126.87
WL01,2022-08-17 00:00:00,208.888,7.24687,108.48,127.43
WL01,2022-08-16 00:00:00,212.086,7.62633,106.63,126.36
WL01,2022-08-15 00:00:00,211.964,7.35302,106.74,125.89
WL01,2022-08-14 00:00:00,212.324,7.34227,106.77,125.85
WL01,2022-08-13 00:00:00,212.074,7.46443,105.95,125.81
WL01,2022-08-12 00:00:00,206.259,6.69079,106.61,125.73
WL01,2022-08-11 00:00:00,211.055,7.1019,107.52,126.08
WL01,2022-08-10 00:00:00,212.387,7.42007,107.95,125.4
WL01,2022-08-09 00:00:00,211.915,7.20585,106.67,125.32
WL01,2022-08-08 00:00:00,211.763,7.42113,106.15,124.76
WL01,2022-08-07 00:00:00,213.02,7.31776,107.45,124.9
WL01,2022-08-06 00:00:00,210.934,7.04352,106.01,124.64
WL01,2022-08-05 00:00:00,213.11,7.43634,106.62,124.79
WL01,2022-08-04 00:00:00,211.459,6.94661,105.25,124.21
WL01,2022-08-03 00:00:00,213.436,7.08837,104.47,124.03
WL01,2022-08-02 00:00:00,215.717,7.83288,104.77,123.45
WL01,2022-08-01 00:00:00,213.532,7.80549,104.31,122.6
WL01,2022-07-31 00:00:00,206.816,7.46671,102.98,123.03
WL01,2022-07-30 00:00:00,206.905,7.60173,103.51,122.31
WL01,2022-07-29 00:00:00,207.488,7.45802,102.72,121.78
WL01,2022-07-28 00:00:00,208.794,7.82428,102.08,120.99
WL01,2022-07-27 00:00:00,208.542,7.74897,101.12,120.63
WL01,2022-07-26 00:00:00,207.775,7.54876,101.04,120.74
WL01,2022-07-25 00:00:00,209.61,8.25222,101.17,121.68
WL01,2022-07-24 00:00:00,208.787,8.08684,100.34,120.64
WL01,2022-07-23 00:00:00,208.889,8.25706,100.64,121.07
WL01,2022-07-22 00:00:00,208.478,8.89392,100.99,121.35
WL01,2022-07-21 00:00:00,208.472,8.6754,101.41,121.13
WL01,2022-07-20 00:00:00,206.622,8.2503,101.42,122.66
WL01,2022-07-19 00:00:00,203.129,6.80896,102.83,123.55
WL01,2022-07-18 00:00:00,200.633,6.38848,103.25,126.36
WL01,2022-07-17 00:00:00,207.125,8.21632,106.12,124.42
WL01,2022-07-16 00:00:00,207.355,8.61825,101.45,122.51
WL01,2022-07-15 00:00:00,205.792,8.13548,101.05,122.75
WL01,2022-07-14 00:00:00,202.537,7.16418,107.06,126.49
WL01,2022-07-13 00:00:00,204.295,7.31192,106.38,126.32
WL01,2022-07-12 00:00:00,200.13,6.88312,106.22,125.78
WL01,2022-07-11 00:00:00,202.72,7.15849,106.37,126.26
WL01,2022-07-10 00:00:00,201.118,7.04402,106.46,125.64
WL01,2022-07-09 00:00:00,203.142,7.62419,105.86,125.42
WL01,2022-07-08 00:00:00,202.426,7.43229,103.69,124.13
WL01,2022-07-07 00:00:00,203.622,7.38452,104.42,124.25
WL01,2022-07-06 00:00:00,203.206,7.57542,104.13,123.8
WL01,2022-07-05 00:00:00,203.447,7.56333,103.51,123.05
WL01,2022-07-04 00:00:00,210.093,7.57805,103.03,123.67
WL01,2022-07-03 00:00:00,208.995,7.91394,105.23,123.39
WL01,2022-07-02 00:00:00,208.643,7.42618,105.32,123.18
WL01,2022-07-01 00:00:00,211.557,7.76248,104.65,123.26
WL01,2022-06-30 00:00:00,210.829,7.49315,103.64,123.02
WL01,2022-06-29 00:00:00,211.331,7.58076,104.28,123.1
WL01,2022-06-28 00:00:00,210.188,7.17826,104.23,123.04
WL01,2022-06-27 00:00:00,211.223,7.67183,105.95,124.41
WL01,2022-06-26 00:00:00,212.27,7.80131,103.44,122.63
WL01,2022-06-25 00:00:00,212.184,7.83841,103.04,122.09
WL01,2022-06-24 00:00:00,210.795,7.94451,103.35,123.01
WL01,2022-06-23 00:00:00,211.162,7.44332,102.75,123.24
WL01,2022-06-22 00:00:00,212.718,7.852,104.99,124.11
WL01,2022-06-21 00:00:00,208.09,7.93889,102.94,123.91
WL01,2022-06-20 00:00:00,213.829,3.48027,101.83,124.08
WL01,2022-06-19 00:00:00,211.544,7.68028,102.18,123.64
WL01,2022-06-18 00:00:00,211.844,7.9723,102.31,124.09
WL01,2022-06-17 00:00:00,211.941,8.09054,102.34,123.84
WL01,2022-06-16 00:00:00,209.33,7.98282,102.19,124.47
WL01,2022-06-15 00:00:00,207.952,7.84765,102.77,124.14
WL01,2022-06-14 00:00:00,210.965,7.85726,102.85,124.21
WL01,2022-06-13 00:00:00,210.823,8.23565,102.51,124.55
WL01,2022-06-12 00:00:00,210.98,8.09373,102.37,124.68
WL01,2022-06-11 00:00:00,211.546,8.17977,101.5,124.65
WL01,2022-06-10 00:00:00,211.405,8.0867,102.37,124.49
WL01,2022-06-09 00:00:00,209.728,7.71236,103.02,124.8
WL01,2022-06-08 00:00:00,210.933,7.57868,107.63,127.23
WL01,2022-06-07 00:00:00,211.258,8.12957,106.09,125.37
WL01,2022-06-06 00:00:00,206.872,7.51953,104.1,125.13
WL01,2022-06-05 00:00:00,211.528,7.60115,105.44,125.4
WL01,2022-06-04 00:00:00,210.054,7.27708,105.94,125.33
WL01,2022-06-03 00:00:00,210.32,7.43699,107.55,125.73
WL01,2022-06-02 00:00:00,211.55,7.69423,106.64,125.28
WL01,2022-06-01 00:00:00,213.207,7.96412,106.25,124.57
WL01,2022-05-31 00:00:00,209.612,8.11756,105.47,124.52
WL01,2022-05-30 00:00:00,211.534,7.80565,104.57,124.54
WL01,2022-05-29 00:00:00,212.304,7.79355,105.47,125.05
